"id","venta_id","monto","estado","cliente_id","productos","monto_total","fecha","descripcion"
"215","807",,"pagada","151","[{""nombre"":""Cocinas Bryderk"",""cantidad"":200,""id_producto"":24,""precio_unitario"":30}]","0.00","2025-11-26 13:08:08.34392","Deuda generada por venta 807"
"216","810",,"pendiente","398","[{""nombre"":""Refrigeradores Royal 8.5p G130-20/11/25"",""cantidad"":1,""id_producto"":28,""precio_unitario"":290}]","290.00","2025-11-26 15:14:45.289129","Deuda generada por venta 810"
"217","811",,"pagada","399","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":6,""id_producto"":31,""precio_unitario"":40}]","0.00","2025-11-26 15:18:49.35768","Deuda generada por venta 811"
"218","813",,"pagada","39","[{""nombre"":""ventilador de 12 pulgada nuevo"",""cantidad"":1,""id_producto"":22,""precio_unitario"":38}]","0.00","2025-11-26 15:32:23.518113","Deuda generada por venta 813"
"219","815",,"pagada","12","[{""nombre"":""Cocinas Bryderk"",""cantidad"":32,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-26 16:28:03.900207","Deuda generada por venta 815"
"220","824",,"pagada","12","[{""nombre"":""Cocinas Bryderk"",""cantidad"":18,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-26 20:55:48.090141","Deuda generada por venta 824"
"221","825",,"pagada","39","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-26 20:57:06.447712","Deuda generada por venta 825"
"222","830",,"pagada","407","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":10,""id_producto"":26,""precio_unitario"":185}]","0.00","2025-11-27 15:07:55.843037","Deuda generada por venta 830"
"223","841",,"pagada","414","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":36}]","0.00","2025-11-27 17:00:36.750402","Deuda generada por venta 841"
"224","842",,"pagada","415","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":30}]","0.00","2025-11-27 17:03:00.824411","Deuda generada por venta 842"
"225","843",,"pagada","56","[{""nombre"":""Cocinas Bryderk"",""cantidad"":10,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-27 17:51:50.18467","Deuda generada por venta 843"
"226","849",,"pendiente","2","[{""nombre"":""Refrigeradores Royal 8.5p G130-20/11/25"",""cantidad"":1,""id_producto"":28,""precio_unitario"":290}]","290.00","2025-11-27 19:06:45.69282","Deuda generada por venta 849"
"227","851",,"pendiente","2","[{""nombre"":""Split EKO 2T"",""cantidad"":1,""id_producto"":1,""precio_unitario"":530}]","530.00","2025-11-27 20:09:24.232759","Deuda generada por venta 851"
"228","874",,"pagada","39","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-29 13:59:22.593982","Deuda generada por venta 874"
"229","886",,"pagada","32","[{""nombre"":""Cocinas Bryderk"",""cantidad"":5,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-11-29 15:55:19.855178","Deuda generada por venta 886"
"230","887",,"pagada","438","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-11-29 16:08:52.91143","Deuda generada por venta 887"
"231","889",,"pagada","439","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":4,""id_producto"":31,""precio_unitario"":34}]","0.00","2025-11-29 17:15:47.33854","Deuda generada por venta 889"
"232","890",,"pagada","440","[{""nombre"":""Cocinas Bryderk"",""cantidad"":30,""id_producto"":24,""precio_unitario"":26}]","0.00","2025-11-29 17:35:36.878446","Deuda generada por venta 890"
"233","893",,"pagada","442","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-11-29 18:56:48.181325","Deuda generada por venta 893"
"234","895",,"pagada","2","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":40,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-11-29 19:24:19.034886","Deuda generada por venta 895"
"235","905",,"pagada","11","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":12,""id_producto"":31,""precio_unitario"":33},{""nombre"":""Cocinas Bryderk"",""cantidad"":8,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-01 16:14:21.553722","Deuda generada por venta 905"
"236","919",,"pendiente","251","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25},{""nombre"":""Ventilador JMD 18p"",""cantidad"":1,""id_producto"":3,""precio_unitario"":65},{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":33}]","98.00","2025-12-01 18:48:26.901806","Deuda generada por venta 919"
"237","920",,"pagada","12","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":10,""id_producto"":8,""precio_unitario"":37},{""nombre"":""Cocinas Bryderk"",""cantidad"":16,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-01 18:55:00.958877","Deuda generada por venta 920"
"238","922",,"pagada","6","[{""nombre"":""Cocinas Bryderk"",""cantidad"":30,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-01 19:15:20.838697","Deuda generada por venta 922"
"239","929",,"pagada","458","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-12-02 14:37:59.479595","Deuda generada por venta 929"
"240","931",,"pagada","462","[{""nombre"":""Ventilador JMD 12p"",""cantidad"":1,""id_producto"":8,""precio_unitario"":35}]","0.00","2025-12-02 15:14:30.556531","Deuda generada por venta 931"
"241","932",,"pagada","463","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":2,""id_producto"":31,""precio_unitario"":38}]","0.00","2025-12-02 15:18:16.597534","Deuda generada por venta 932"
"242","936",,"pagada","370","[{""nombre"":""Cocinas Bryderk"",""cantidad"":10,""id_producto"":24,""precio_unitario"":26}]","0.00","2025-12-02 15:54:40.589512","Deuda generada por venta 936"
"243","944",,"pagada","46","[{""nombre"":""Neveras Royal 5.5 B225-18/11/25"",""cantidad"":1,""id_producto"":26,""precio_unitario"":200}]","0.00","2025-12-02 17:25:05.304555","Deuda generada por venta 944"
"244","945",,"pagada","46","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":5,""id_producto"":31,""precio_unitario"":33}]","0.00","2025-12-02 17:26:53.979605","Deuda generada por venta 945"
"245","947",,"pendiente","2","[{""nombre"":""Ventilador f6/23.11.25"",""cantidad"":1,""id_producto"":31,""precio_unitario"":33}]","33.00","2025-12-02 17:37:40.993585","Deuda generada por venta 947"
"246","954",,"pendiente","12","[{""nombre"":""Cocinas Bryderk"",""cantidad"":36,""id_producto"":24,""precio_unitario"":25},{""nombre"":""Split EKO 2T"",""cantidad"":1,""id_producto"":1,""precio_unitario"":530}]","0.16","2025-12-02 21:06:53.966649","Deuda generada por venta 954"
"247","956",,"pagada","46","[{""nombre"":""Cocinas Bryderk"",""cantidad"":10,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-04 19:16:52.810676","Deuda generada por venta 956"
"248","957",,"pagada","6","[{""nombre"":""Cocinas Bryderk"",""cantidad"":1,""id_producto"":24,""precio_unitario"":25}]","0.00","2025-12-04 19:17:16.615694","Deuda generada por venta 957"
